Date,Time,Name,Status
10/17/2019,09:44:21,WHITE-TNK-1,RampUp
10/17/2019,09:44:21,BLUE-TNK-1,RampUp
10/17/2019,09:44:21,WHITE-TNK-2,RampUp
10/17/2019,09:44:21,BLUE-TNK-2,RampUp
10/17/2019,09:44:21,WHITE-TNK-3,ON
10/17/2019,09:44:21,BLUE-TNK-3,ON
10/17/2019,09:44:21,WHITE-TNK-4,ON
10/17/2019,09:44:21,BLUE-TNK-4,ON
10/17/2019,09:44:21,BluLED_24_5,ON
10/17/2019,09:44:21,WhtLED_24_6,ON
10/17/2019,09:50:23,WHITE-TNK-1,RampUp
10/17/2019,09:50:23,BLUE-TNK-1,RampUp
10/17/2019,09:50:23,WHITE-TNK-2,RampUp
10/17/2019,09:50:23,BLUE-TNK-2,RampUp
10/17/2019,09:50:23,WHITE-TNK-3,ON
10/17/2019,09:50:23,BLUE-TNK-3,ON
10/17/2019,09:50:23,WHITE-TNK-4,ON
10/17/2019,09:50:23,BLUE-TNK-4,ON
10/17/2019,09:50:23,BluLED_24_5,ON
10/17/2019,09:50:23,WhtLED_24_6,ON
10/17/2019,10:15:35,WHITE-TNK-1,RampUp
10/17/2019,10:15:35,BLUE-TNK-1,RampUp
10/17/2019,10:15:35,WHITE-TNK-2,RampUp
10/17/2019,10:15:35,BLUE-TNK-2,RampUp
10/17/2019,10:15:35,WHITE-TNK-3,ON
10/17/2019,10:15:35,BLUE-TNK-3,ON
10/17/2019,10:15:35,WHITE-TNK-4,ON
10/17/2019,10:15:35,BLUE-TNK-4,ON
10/17/2019,10:15:35,BluLED_24_5,ON
10/17/2019,10:15:35,WhtLED_24_6,ON
10/17/2019,10:29:04,WHITE-TNK-1,RampUp
10/17/2019,10:29:04,BLUE-TNK-1,RampUp
10/17/2019,10:29:04,WHITE-TNK-2,RampUp
10/17/2019,10:29:04,BLUE-TNK-2,RampUp
10/17/2019,10:29:04,WHITE-TNK-3,ON
10/17/2019,10:29:04,BLUE-TNK-3,ON
10/17/2019,10:29:04,WHITE-TNK-4,ON
10/17/2019,10:29:04,BLUE-TNK-4,ON
10/17/2019,10:29:04,BluLED_24_5,ON
10/17/2019,10:29:04,WhtLED_24_6,ON
10/17/2019,10:37:36,WHITE-TNK-1,RampUp
10/17/2019,10:37:36,BLUE-TNK-1,RampUp
10/17/2019,10:37:36,WHITE-TNK-2,RampUp
10/17/2019,10:37:36,BLUE-TNK-2,RampUp
10/17/2019,10:37:36,WHITE-TNK-3,ON
10/17/2019,10:37:36,BLUE-TNK-3,ON
10/17/2019,10:37:36,WHITE-TNK-4,ON
10/17/2019,10:37:36,BLUE-TNK-4,ON
10/17/2019,10:37:36,BluLED_24_5,ON
10/17/2019,10:37:36,WhtLED_24_6,ON
10/17/2019,12:55:00,BLUE-TNK-1,OFF
10/17/2019,12:55:00,BLUE-TNK-2,OFF
10/17/2019,12:55:00,BLUE-TNK-3,OFF
10/17/2019,12:55:00,BLUE-TNK-4,OFF
10/17/2019,12:55:00,BluLED_24_5,OFF
10/17/2019,13:09:28,LIGHT-TNK-2,ON
10/17/2019,13:24:34,LIGHT-TNK-4,ON
10/17/2019,13:24:42,LIGHT-TNK-4,OFF
10/17/2019,15:00:00,SOL-TNK-2,ON
10/17/2019,15:00:00,SOL-TNK-4,ON
10/17/2019,15:21:03,WHITE-TNK-1,RampUp
10/17/2019,15:21:03,WHITE-TNK-2,RampUp
10/17/2019,15:21:03,WHITE-TNK-3,ON
10/17/2019,15:21:03,WHITE-TNK-4,ON
10/17/2019,15:21:03,WhtLED_24_6,ON
10/17/2019,15:21:03,SOL-TNK-2,ON
10/17/2019,15:21:03,LIGHT-TNK-2,ON
10/17/2019,15:21:03,SOL-TNK-4,ON
10/17/2019,15:23:20,WHITE-TNK-1,RampUp
10/17/2019,15:23:20,WHITE-TNK-2,RampUp
10/17/2019,15:23:20,WHITE-TNK-3,ON
10/17/2019,15:23:20,WHITE-TNK-4,ON
10/17/2019,15:23:20,WhtLED_24_6,ON
10/17/2019,15:23:20,SOL-TNK-2,ON
10/17/2019,15:23:20,LIGHT-TNK-2,ON
10/17/2019,15:23:20,SOL-TNK-4,ON
10/17/2019,15:41:42,WHITE-TNK-1,RampUp
10/17/2019,15:41:42,WHITE-TNK-2,RampUp
10/17/2019,15:41:42,WHITE-TNK-3,ON
10/17/2019,15:41:42,WHITE-TNK-4,ON
10/17/2019,15:41:42,WhtLED_24_6,ON
10/17/2019,15:41:42,SOL-TNK-2,ON
10/17/2019,15:41:42,LIGHT-TNK-2,ON
10/17/2019,15:41:42,SOL-TNK-4,ON
10/17/2019,16:20:12,WHITE-TNK-1,RampUp
10/17/2019,16:20:12,WHITE-TNK-2,RampUp
10/17/2019,16:20:12,WHITE-TNK-3,ON
10/17/2019,16:20:12,WHITE-TNK-4,ON
10/17/2019,16:20:12,WhtLED_24_6,ON
10/17/2019,16:20:12,SOL-TNK-2,ON
10/17/2019,16:20:12,LIGHT-TNK-2,ON
10/17/2019,16:20:12,SOL-TNK-4,ON
10/17/2019,16:45:17,LIGHT-TNK-2,OFF
10/17/2019,18:18:00,WHITE-TNK-1,OFF
10/17/2019,18:18:00,WHITE-TNK-2,OFF
10/17/2019,18:18:00,WHITE-TNK-3,OFF
10/17/2019,18:18:00,WHITE-TNK-4,OFF
10/17/2019,18:18:00,WhtLED_24_6,OFF
10/17/2019,21:15:00,SOL-TNK-2,OFF
10/17/2019,21:15:00,SOL-TNK-4,OFF
10/18/2019,02:43:00,BLUE-TNK-1,RampUp
10/18/2019,02:43:00,BLUE-TNK-2,RampUp
10/18/2019,02:43:00,BLUE-TNK-3,ON
10/18/2019,02:43:00,BLUE-TNK-4,ON
10/18/2019,02:43:00,BluLED_24_5,ON
10/18/2019,03:30:00,SOL-TNK-2,ON
10/18/2019,03:30:00,SOL-TNK-4,ON
10/18/2019,07:01:00,WHITE-TNK-1,RampUp
10/18/2019,07:01:00,WHITE-TNK-2,RampUp
10/18/2019,07:01:00,WHITE-TNK-3,ON
10/18/2019,07:01:00,WHITE-TNK-4,ON
10/18/2019,07:01:00,WhtLED_24_6,ON
10/18/2019,09:45:00,SOL-TNK-2,OFF
10/18/2019,09:45:00,SOL-TNK-4,OFF
10/18/2019,13:44:00,BLUE-TNK-1,OFF
10/18/2019,13:44:00,BLUE-TNK-2,OFF
10/18/2019,13:44:00,BLUE-TNK-3,OFF
10/18/2019,13:44:00,BLUE-TNK-4,OFF
10/18/2019,13:44:00,BluLED_24_5,OFF
10/18/2019,14:34:43,WHITE-TNK-1,RampUp
10/18/2019,14:34:43,WHITE-TNK-2,RampUp
10/18/2019,14:34:43,WHITE-TNK-3,ON
10/18/2019,14:34:43,WHITE-TNK-4,ON
10/18/2019,14:34:43,WhtLED_24_6,ON
10/18/2019,16:00:00,SOL-TNK-2,ON
10/18/2019,16:00:00,SOL-TNK-4,ON
10/18/2019,18:17:00,WHITE-TNK-1,OFF
10/18/2019,18:17:00,WHITE-TNK-2,OFF
10/18/2019,18:17:00,WHITE-TNK-3,OFF
10/18/2019,18:17:00,WHITE-TNK-4,OFF
10/18/2019,18:17:00,WhtLED_24_6,OFF
10/18/2019,22:15:00,SOL-TNK-2,OFF
10/18/2019,22:15:00,SOL-TNK-4,OFF
10/19/2019,03:32:00,BLUE-TNK-1,RampUp
10/19/2019,03:32:00,BLUE-TNK-2,RampUp
10/19/2019,03:32:00,BLUE-TNK-3,ON
10/19/2019,03:32:00,BLUE-TNK-4,ON
10/19/2019,03:32:00,BluLED_24_5,ON
10/19/2019,04:30:00,SOL-TNK-2,ON
10/19/2019,04:30:00,SOL-TNK-4,ON
10/19/2019,07:02:00,WHITE-TNK-1,RampUp
10/19/2019,07:02:00,WHITE-TNK-2,RampUp
10/19/2019,07:02:00,WHITE-TNK-3,ON
10/19/2019,07:02:00,WHITE-TNK-4,ON
10/19/2019,07:02:00,WhtLED_24_6,ON
10/19/2019,10:45:00,SOL-TNK-2,OFF
10/19/2019,10:45:00,SOL-TNK-4,OFF
10/19/2019,14:33:00,BLUE-TNK-1,OFF
10/19/2019,14:33:00,BLUE-TNK-2,OFF
10/19/2019,14:33:00,BLUE-TNK-3,OFF
10/19/2019,14:33:00,BLUE-TNK-4,OFF
10/19/2019,14:33:00,BluLED_24_5,OFF
10/19/2019,17:00:00,SOL-TNK-2,ON
10/19/2019,17:00:00,SOL-TNK-4,ON
10/19/2019,18:16:00,WHITE-TNK-1,OFF
10/19/2019,18:16:00,WHITE-TNK-2,OFF
10/19/2019,18:16:00,WHITE-TNK-3,OFF
10/19/2019,18:16:00,WHITE-TNK-4,OFF
10/19/2019,18:16:00,WhtLED_24_6,OFF
10/19/2019,23:15:00,SOL-TNK-2,OFF
10/19/2019,23:15:00,SOL-TNK-4,OFF
10/20/2019,04:21:00,BLUE-TNK-1,RampUp
10/20/2019,04:21:00,BLUE-TNK-2,RampUp
10/20/2019,04:21:00,BLUE-TNK-3,ON
10/20/2019,04:21:00,BLUE-TNK-4,ON
10/20/2019,04:21:00,BluLED_24_5,ON
10/20/2019,05:30:00,SOL-TNK-2,ON
10/20/2019,05:30:00,SOL-TNK-4,ON
10/20/2019,07:03:00,WHITE-TNK-1,RampUp
10/20/2019,07:03:00,WHITE-TNK-2,RampUp
10/20/2019,07:03:00,WHITE-TNK-3,ON
10/20/2019,07:03:00,WHITE-TNK-4,ON
10/20/2019,07:03:00,WhtLED_24_6,ON
10/20/2019,11:45:00,SOL-TNK-2,OFF
10/20/2019,11:45:00,SOL-TNK-4,OFF
10/20/2019,15:22:00,BLUE-TNK-1,OFF
10/20/2019,15:22:00,BLUE-TNK-2,OFF
10/20/2019,15:22:00,BLUE-TNK-3,OFF
10/20/2019,15:22:00,BLUE-TNK-4,OFF
10/20/2019,15:22:00,BluLED_24_5,OFF
10/20/2019,18:00:00,SOL-TNK-2,ON
10/20/2019,18:00:00,SOL-TNK-4,ON
10/20/2019,18:15:00,WHITE-TNK-1,OFF
10/20/2019,18:15:00,WHITE-TNK-2,OFF
10/20/2019,18:15:00,WHITE-TNK-3,OFF
10/20/2019,18:15:00,WHITE-TNK-4,OFF
10/20/2019,18:15:00,WhtLED_24_6,OFF
10/21/2019,00:15:00,SOL-TNK-2,OFF
10/21/2019,00:15:00,SOL-TNK-4,OFF
10/21/2019,05:10:00,BLUE-TNK-1,RampUp
10/21/2019,05:10:00,BLUE-TNK-2,RampUp
10/21/2019,05:10:00,BLUE-TNK-3,ON
10/21/2019,05:10:00,BLUE-TNK-4,ON
10/21/2019,05:10:00,BluLED_24_5,ON
10/21/2019,06:30:00,SOL-TNK-2,ON
10/21/2019,06:30:00,SOL-TNK-4,ON
10/21/2019,07:04:00,WHITE-TNK-1,RampUp
10/21/2019,07:04:00,WHITE-TNK-2,RampUp
10/21/2019,07:04:00,WHITE-TNK-3,ON
10/21/2019,07:04:00,WHITE-TNK-4,ON
10/21/2019,07:04:00,WhtLED_24_6,ON
10/21/2019,12:45:00,SOL-TNK-2,OFF
10/21/2019,12:45:00,SOL-TNK-4,OFF
10/21/2019,13:32:13,SOL-TNK-2,ON
10/21/2019,13:32:16,SOL-TNK-4,ON
10/21/2019,13:45:27,WHITE-TNK-1,RampUp
10/21/2019,13:45:27,BLUE-TNK-1,RampUp
10/21/2019,13:45:27,WHITE-TNK-2,RampUp
10/21/2019,13:45:27,BLUE-TNK-2,RampUp
10/21/2019,13:45:27,WHITE-TNK-3,ON
10/21/2019,13:45:27,BLUE-TNK-3,ON
10/21/2019,13:45:27,WHITE-TNK-4,ON
10/21/2019,13:45:27,BLUE-TNK-4,ON
10/21/2019,13:45:27,BluLED_24_5,ON
10/21/2019,13:45:27,WhtLED_24_6,ON
10/21/2019,13:45:27,SOL-TNK-2,ON
10/21/2019,13:45:27,SOL-TNK-4,ON
10/21/2019,13:51:39,WHITE-TNK-1,RampUp
10/21/2019,13:51:39,BLUE-TNK-1,RampUp
10/21/2019,13:51:39,WHITE-TNK-2,RampUp
10/21/2019,13:51:39,BLUE-TNK-2,RampUp
10/21/2019,13:51:39,WHITE-TNK-3,ON
10/21/2019,13:51:39,BLUE-TNK-3,ON
10/21/2019,13:51:39,WHITE-TNK-4,ON
10/21/2019,13:51:39,BLUE-TNK-4,ON
10/21/2019,13:51:39,BluLED_24_5,ON
10/21/2019,13:51:39,WhtLED_24_6,ON
10/21/2019,13:51:39,SOL-TNK-2,ON
10/21/2019,13:51:39,SOL-TNK-4,ON
10/21/2019,13:54:26,WHITE-TNK-1,RampUp
10/21/2019,13:54:26,BLUE-TNK-1,RampUp
10/21/2019,13:54:26,WHITE-TNK-2,RampUp
