Date,Source,TempC
2019-12-10T03:10:00Z,Mean.Temp,14.99
2019-12-10T03:20:00Z,Hobo-Tmp-1,15.71
2019-12-10T03:20:00Z,Hobo-Tmp-2,14.27
2019-12-10T03:20:00Z,Mean.Temp,14.99
2019-12-10T03:30:00Z,Hobo-Tmp-1,15.71
2019-12-10T03:30:00Z,Hobo-Tmp-2,14.24
2019-12-10T03:30:00Z,Mean.Temp,14.97
2019-12-10T03:40:00Z,Hobo-Tmp-1,15.69
2019-12-10T03:40:00Z,Hobo-Tmp-2,14.22
2019-12-10T03:40:00Z,Mean.Temp,14.95
2019-12-10T03:50:00Z,Hobo-Tmp-1,15.7
2019-12-10T03:50:00Z,Hobo-Tmp-2,14.2
2019-12-10T03:50:00Z,Mean.Temp,14.95
2019-12-10T04:00:00Z,Hobo-Tmp-1,15.7
2019-12-10T04:00:00Z,Hobo-Tmp-2,14.19
2019-12-10T04:00:00Z,Mean.Temp,14.94
2019-12-10T04:10:00Z,Hobo-Tmp-1,15.68
2019-12-10T04:10:00Z,Hobo-Tmp-2,14.2
2019-12-10T04:10:00Z,Mean.Temp,14.94
2019-12-10T04:20:00Z,Hobo-Tmp-1,15.71
2019-12-10T04:20:00Z,Hobo-Tmp-2,14.19
2019-12-10T04:20:00Z,Mean.Temp,14.95
2019-12-10T04:30:00Z,Hobo-Tmp-1,15.72
2019-12-10T04:30:00Z,Hobo-Tmp-2,14.18
2019-12-10T04:30:00Z,Mean.Temp,14.95
2019-12-10T04:40:00Z,Hobo-Tmp-1,15.72
2019-12-10T04:40:00Z,Hobo-Tmp-2,14.2
2019-12-10T04:40:00Z,Mean.Temp,14.96
2019-12-10T04:50:00Z,Hobo-Tmp-1,15.72
2019-12-10T04:50:00Z,Hobo-Tmp-2,14.17
2019-12-10T04:50:00Z,Mean.Temp,14.94
2019-12-10T05:00:00Z,Hobo-Tmp-1,15.74
2019-12-10T05:00:00Z,Hobo-Tmp-2,14.16
2019-12-10T05:00:00Z,Mean.Temp,14.95
2019-12-10T05:10:00Z,Hobo-Tmp-1,15.74
2019-12-10T05:10:00Z,Hobo-Tmp-2,14.16
2019-12-10T05:10:00Z,Mean.Temp,14.95
2019-12-10T05:20:00Z,Hobo-Tmp-1,15.73
2019-12-10T05:20:00Z,Hobo-Tmp-2,14.16
2019-12-10T05:20:00Z,Mean.Temp,14.94
2019-12-10T05:30:00Z,Hobo-Tmp-1,15.7
2019-12-10T05:30:00Z,Hobo-Tmp-2,14.17
